fips,architecture,n_addresses,tract_svi,constraint_error,spatial_std,morans_i,bg_r,n_bgs,runtime_s,failure
47065011324,sage,18,0.0374,0.0,0.041707,-0.069124,,1,11.63,
47065000700,sage,1784,0.1141,0.0,0.038967,0.777381,-0.36269330524205207,4,48.57,
47065011447,sage,853,0.165,0.0,0.04939,0.938487,0.46448907953218993,4,41.82,
47065011325,sage,1099,0.1713,0.0,0.068884,0.86287,0.8843195143046284,3,44.24,
47065000600,sage,2089,0.2235,0.0,0.077084,0.94148,0.9344263928855994,3,47.98,
47065011413,sage,1442,0.2735,0.0,0.103972,0.919956,-0.44520101444547444,5,44.25,
47065011900,sage,348,0.2822,0.0,0.091458,0.715348,1.0,2,39.74,
47065010431,sage,3394,0.3848,0.0,0.155438,0.976781,0.3901280788949699,5,55.37,
47065010433,sage,2307,0.454,0.0,0.164043,0.785342,-0.9021792223098303,4,48.49,
47065011326,sage,2738,0.5102,0.0,0.067282,0.902875,0.6973587971796368,3,52.27,
47065001800,sage,1411,0.5471,0.0,0.083035,0.893277,-1.0,2,44.2,
47065011402,sage,2858,0.5759,0.0,0.073311,0.910167,0.5377907112373246,4,50.58,
47065011321,sage,3756,0.6955,0.0,0.105755,0.927191,0.4114427478882529,4,55.94,
47065011444,sage,1934,0.7088,0.0,0.132717,0.979356,1.0,2,45.76,
47065010435,sage,2780,0.7153,0.0,0.128606,0.949891,-0.5797328545195939,4,50.77,
47065011311,sage,2358,0.7464,0.0,0.106609,0.977358,0.18789055440463848,6,51.23,
47065003400,sage,2559,0.8797,0.0,0.035067,0.912887,0.9998860654819077,3,47.43,
47065002400,sage,1918,0.8912,0.0,0.035362,0.824063,0.38363477306344557,4,50.9,
47065001200,sage,1420,0.9066,0.0,0.021784,0.785591,-0.9997339331271317,3,42.57,
47065001900,sage,2469,0.9804,0.0,0.014119,0.740992,-0.9455568207059581,3,50.11,
47065011324,gcn_gat,18,0.0374,0.0,0.060066,0.032759,,1,11.1,
47065000700,gcn_gat,1784,0.1141,0.0,0.051311,0.781762,-0.5238062434436056,4,45.63,
47065011447,gcn_gat,853,0.165,0.0,0.052044,0.834692,-0.3617719784704543,4,43.29,
47065011325,gcn_gat,1099,0.1713,0.0,0.076547,0.839543,0.8718798818930074,3,42.62,
47065000600,gcn_gat,2089,0.2235,0.0,0.07243,0.866667,0.6368765678857762,3,48.67,
47065011413,gcn_gat,1442,0.2735,0.0,0.114738,0.95689,-0.24119775935097926,5,44.42,
47065011900,gcn_gat,348,0.2822,0.0,0.085262,0.929028,-1.0,2,37.86,
47065010431,gcn_gat,3394,0.3848,0.0,0.076472,0.950303,0.8275127813432318,5,53.42,
47065010433,gcn_gat,2307,0.454,0.0,0.113179,0.854737,-0.11629174901734786,4,48.45,
47065011326,gcn_gat,2738,0.5102,0.0,0.168123,0.976323,-0.27645389817670607,3,49.15,
47065001800,gcn_gat,1411,0.5471,0.0,0.142563,0.937509,-1.0,2,44.6,
47065011402,gcn_gat,2858,0.5759,0.0,0.158708,0.985965,0.8982213686289218,4,50.58,
47065011321,gcn_gat,3756,0.6955,0.0,0.103201,0.996665,0.8523212597120797,4,53.5,
47065011444,gcn_gat,1934,0.7088,0.0,0.11451,0.94218,0.9999999999999999,2,45.92,
47065010435,gcn_gat,2780,0.7153,0.0,0.13875,0.968602,-0.05096971555369437,4,49.71,
47065011311,gcn_gat,2358,0.7464,0.0,0.095777,0.950659,-0.38392898383761004,6,51.03,
47065003400,gcn_gat,2559,0.8797,0.0,0.043882,0.780716,0.950410032041098,3,49.6,
47065002400,gcn_gat,1918,0.8912,0.0,0.037818,0.827471,-0.5809342441923708,4,52.7,
47065001200,gcn_gat,1420,0.9066,0.0,0.050023,0.894892,0.3062130309352646,3,43.06,
47065001900,gcn_gat,2469,0.9804,0.0,0.018793,0.644821,-0.9965628764805382,3,49.64,
