tract_fips,architecture,raw_model_output_mean,deviation_mean,final_prediction_mean,target_svi
47065011324,sage,0.03739998,-0.0,0.03739998,0.0374
47065000700,sage,0.11409998,1e-08,0.11409999,0.1141
47065011447,sage,0.16500004,-2e-08,0.16500002,0.165
47065011325,sage,0.17130005,0.0,0.17130005,0.1713
47065000600,sage,0.22349995,1e-08,0.22349996,0.2235
47065011413,sage,0.27349997,0.0,0.27349997,0.2735
47065011900,sage,0.28220001,0.0,0.28220001,0.2822
47065010431,sage,0.38480002,-2e-08,0.38479999,0.3848
47065010433,sage,0.45400003,-2e-08,0.45400001,0.454
47065011326,sage,0.51020002,-1e-08,0.51020001,0.5102
47065001800,sage,0.54710013,-5e-08,0.54710008,0.5471
47065011402,sage,0.57590002,-0.0,0.57590002,0.5759
47065011321,sage,0.69549996,4e-08,0.6955,0.6955
47065011444,sage,0.70880008,0.0,0.70880008,0.7088
47065010435,sage,0.71530008,-4e-08,0.71530005,0.7153
47065011311,sage,0.7464,4e-08,0.74640004,0.7464
47065003400,sage,0.87970001,3e-08,0.87970004,0.8797
47065002400,sage,0.89120001,2e-08,0.89120003,0.8912
47065001200,sage,0.90660006,-4e-08,0.90660002,0.9066
47065001900,sage,0.98039991,1.3e-07,0.98040004,0.9804
47065011324,gcn_gat,0.0374,0.0,0.0374,0.0374
47065000700,gcn_gat,0.11410004,-0.0,0.11410004,0.1141
47065011447,gcn_gat,0.16499999,-0.0,0.16499999,0.165
47065011325,gcn_gat,0.17130008,1e-08,0.17130009,0.1713
47065000600,gcn_gat,0.22349998,1e-08,0.22349999,0.2235
47065011413,gcn_gat,0.27349997,-0.0,0.27349996,0.2735
47065011900,gcn_gat,0.28219998,-1e-08,0.28219996,0.2822
47065010431,gcn_gat,0.38479999,-2e-08,0.38479996,0.3848
47065010433,gcn_gat,0.45399997,3e-08,0.454,0.454
47065011326,gcn_gat,0.51020002,-3e-08,0.51019999,0.5102
47065001800,gcn_gat,0.54710001,-4e-08,0.54709997,0.5471
47065011402,gcn_gat,0.57589996,6e-08,0.57590002,0.5759
47065011321,gcn_gat,0.69549996,3e-08,0.69549998,0.6955
47065011444,gcn_gat,0.70879996,4e-08,0.7088,0.7088
47065010435,gcn_gat,0.71529996,3e-08,0.71529999,0.7153
47065011311,gcn_gat,0.7464,5e-08,0.74640005,0.7464
47065003400,gcn_gat,0.87970001,6e-08,0.87970007,0.8797
47065002400,gcn_gat,0.89119995,5e-08,0.89119999,0.8912
47065001200,gcn_gat,0.90660006,-8e-08,0.90659998,0.9066
47065001900,gcn_gat,0.98040015,-8e-08,0.98040006,0.9804
