condition,arch,training_seed,graph_draw_seed,morans_i,within_tract_std,pooled_bg_r,n_tracts,runtime_s
spatial_knn_uniform,sage,42,42,0.884951811688461,0.07547543793488946,0.7600519710055784,20,663.2
spatial_knn_uniform,sage,17,42,0.8629782407208202,0.0682414830940033,0.7570468089294906,20,660.9
spatial_knn_uniform,sage,123,42,0.8821530501644576,0.09315339046639819,0.7603821520004304,20,667.1
spatial_knn_uniform,sage,2024,42,0.8802598062372743,0.09419725171003278,0.7762140870158633,20,663.4
spatial_knn_uniform,sage,7,42,0.9038052456349701,0.1185282406801911,0.7636023028455146,20,671.1
road_network_uniform,sage,42,42,0.8351686363281393,0.07970103882687449,0.7652423421693775,20,719.8
road_network_uniform,sage,17,42,0.8144739662755456,0.06629791669530676,0.7631051057905858,20,718.7
road_network_uniform,sage,123,42,0.8252578729777362,0.0935657137498424,0.7643855664081826,20,723.9
road_network_uniform,sage,2024,42,0.8829950172492564,0.10075993528514979,0.7611640143504159,20,720.8
road_network_uniform,sage,7,42,0.8781982670345613,0.11560010776420857,0.7602314317135913,20,731.4
randomized,sage,42,42,0.4500228097624518,0.05596254103504783,0.7721264412405789,20,687.3
randomized,sage,42,17,0.4305530541481387,0.05753591352554388,0.7748739345153892,20,691.6
spatial_knn_uniform,gcn_gat,42,42,0.9083426852350746,0.08493233834417299,0.7683391996343691,20,673.5
spatial_knn_uniform,gcn_gat,17,42,0.8950204732032713,0.0887954796550148,0.8031765120852264,20,654.8
spatial_knn_uniform,gcn_gat,123,42,0.9168481270802449,0.09235307651087907,0.7469180481382512,20,660.1
spatial_knn_uniform,gcn_gat,2024,42,0.8688870540076412,0.10654279423336613,0.7488383572719794,20,661.4
spatial_knn_uniform,gcn_gat,7,42,0.8901008915533781,0.09839421954959826,0.7637086323435752,20,678.7
road_network_uniform,gcn_gat,42,42,0.8363048318156207,0.0834944584386716,0.7697829806362955,20,729.8
road_network_uniform,gcn_gat,17,42,0.8295776331280343,0.08697428375431855,0.7867683102809191,20,717.1
road_network_uniform,gcn_gat,123,42,0.8337633358577208,0.09594655262201171,0.7441517954265894,20,717.2
road_network_uniform,gcn_gat,2024,42,0.8248650319355398,0.1054326765023285,0.7605593343489101,20,718.7
road_network_uniform,gcn_gat,7,42,0.8562898537087316,0.10537227341882631,0.7600088216546902,20,725.6
randomized,sage,42,123,0.4481888973129613,0.0591680513433804,0.7729672471994762,20,677.6
randomized,sage,42,2024,0.4637364444495263,0.05831545866897832,0.7666496654491236,20,680.1
randomized,sage,42,7,0.4365002618812114,0.05549588011127443,0.771138398939016,20,682.8
randomized,gcn_gat,42,42,0.08352983600345505,0.06745452397624532,0.7674341750801348,20,698.9
randomized,gcn_gat,42,17,0.08079042960155507,0.06897047727151644,0.7617226219172516,20,700.6
randomized,gcn_gat,42,123,0.08342520537312767,0.062470024204897535,0.7639344943937415,20,697.9
randomized,gcn_gat,42,2024,0.08657803859544114,0.06386275905250458,0.7694334758345925,20,694.0
randomized,gcn_gat,42,7,0.07995423970648516,0.07145342448171169,0.7636934305980321,20,694.5
production,sage,42,42,0.877589468191668,0.08232066893127045,0.7536965003138819,20,686.4
production,sage,17,42,0.8436640167397534,0.064301620675708,0.7610589602160185,20,682.8
production,sage,123,42,0.8213738369017968,0.08850635843971265,0.7621011332769468,20,685.2
production,sage,2024,42,0.8543410134143301,0.09907877139927701,0.7723950159489666,20,690.0
production,sage,7,42,0.8882278591919622,0.11516938413321105,0.7668504195027136,20,690.6
production,gcn_gat,42,42,0.8490451608237024,0.08142486351387092,0.7664314601020286,20,687.9
production,gcn_gat,17,42,0.8245808736242763,0.08662768248631032,0.7852330808167858,20,692.9
production,gcn_gat,123,42,0.8706147411740168,0.09233696856838466,0.7553629594115557,20,687.7
production,gcn_gat,2024,42,0.8090036930657012,0.09656893467602115,0.7408173068638129,20,693.6
production,gcn_gat,7,42,0.8308013298083701,0.09610762876092879,0.7718989848835456,20,693.0
