fips,n_addresses,partial_rho_granite,partial_rho_dasymetric,partial_rho_pycnophylactic
47065000600,2089,0.011842313948717835,-0.015448308714051263,0.016160909557154053
47065000700,1784,0.015541505819982095,0.003350480851215884,0.043063418465743304
47065001200,1420,-0.056705951866905004,-0.013324201751511834,0.017366021074455704
47065001800,1411,0.013495808683784295,-0.002636462254997707,0.03962597157702739
47065001900,2469,0.048108879125029674,-0.058121041122073384,-0.032175861257334376
47065002400,1918,-0.023519483912308157,-0.026878768084286353,0.03917163646815982
47065003400,2559,0.03481717027193116,0.014998874632593272,-0.011842956879800848
47065010431,3394,-0.11037743067537516,0.036577044939305324,0.08480597815442562
47065010433,2307,-0.016131218010972913,0.05818175707090723,-0.006204096705908381
47065010435,2780,-0.010127924273034761,-0.009743860423243097,0.012788981114441057
47065011311,2358,0.07847154245435911,-0.01065630666410442,0.14099906940248833
47065011321,3756,0.024001119621379564,-0.06113056083390863,0.03590520495780162
47065011326,2738,-0.020024355085329848,-0.03928387224548544,0.03246048015015066
47065011402,2858,0.0009748728437161025,-0.019563059678562988,-0.0569006308858597
47065011413,1442,0.004662631309863626,0.013266471879545877,-0.06497952819327582
47065011444,1934,0.0008749907068532082,-0.03601302262057566,0.02071430132067448
